Rank,Restaurant Name,City,Country,Continent,Tasting menu from(USD),Tasting menu from(AUD),Latitude,Longitude,Michelin,Type,MICHELIN Green Star
1,Central,Lima,Peru,South America,180,283,-12.15264587,-77.02245759,,Peruvian,
2,Disfrutar,Barcelona,Spain,Europe,165,259,41.387772072430764,2.1532112674820243,2,Creative,
3,DiverXO,Madrid,Spain,Europe,280,440,40.45790022172081,-3.685777501,3,Creative,
4,Asador Etxebarri,Atxondo,Spain,Europe,200,314,43.11587272181455,-2.598470693,1,Grills,
5,Alchemist,Copenhagen,Denmark,Europe,570,895,55.693969631656095,12.613875375442964,2,Innovative,1
6,Maido,Lima,Peru,South America,150,236,-12.12541634,-77.0305759,,,
7,Lido 84,Gardone Riviera,Italy,Europe,100,157,45.62515961,10.57556657650447,1,Creative,
8,Atomix,New York,United States,North America,205,322,40.74429238090044,-73.98280692,2,"Korean,Contemporary",
9,Quintonil,Mexico City,Mexico,North America,120,188,19.430899953410826,-99.1917555,,,
10,Table by Bruno Verjus,Paris,France,Europe,125,196,48.84880066730126,2.375858659925387,2,Modern Cuisine,1
11,Tresind Studio,Dubai,United Arab Emirates,Asia,135,212,25.11423764920976,55.13961768334669,2,Indian,
12,A Casa do Porco,Sao Paulo,Brazil,South America,40,63,-23.54490869,-46.64473706,,,
13,Pujol,Mexico City,Mexico,North America,120,188,19.432379160517932,-99.19483765,,,
14,Odette,Singapore,Singapore,Asia,110,173,1.2897078332006944,103.85144321879207,3,French Contemporary,
15,Le Du,Bangkok,Thailand,Asia,75,118,13.725038224233897,100.5293612045455,1,Thai contemporary,
16,Reale,Castel di Sangro,Italy,Europe,190,298,41.779994009450874,14.094600016321069,3,"Creative, Modern Cuisine",
17,Gaggan Anand,Bangkok,Thailand,Asia,100,157,13.740787524821043,100.56758637112424,,,
18,Steirereck,Vienna,Austria,Europe,115,181,48.20446277427626,16.381395425302916,2,"Creative, Contemporary",
19,Don Julio,Buenos Aires,Argentina,South America,30,47,-34.58630853,-58.42430574,,,
20,Quique Dacosta,Denia,Spain,Europe,235,369,38.85374027718998,0.085201566,3,Creative,
21,Den,Tokyo,Japan,Asia,140,220,35.67317799244068,139.71271887543907,2,Japanese,1
22,Elkano,Getaria,Spain,Europe,60,94,43.30302546514928,-2.204963822,1,"Seafood, Grills",
23,Kol,London,United Kingdom,Europe,135,212,51.51476596,-0.157523232,1,"Mexican, Modern Cuisine",
24,Septime,Paris,France,Europe,65,102,48.853577490434034,2.3809333223093128,1,Modern Cuisine,1
25,Belcanto,Lisbon,Portugal,Europe,185,290,38.71009871556309,-9.141466252,2,"Creative, Portuguese",
26,Schloss Schauenstein,Furstenau,Switzerland,Europe,250,393,46.72115314453201,9.445999449,3,"Creative, Country cooking",1
27,Florilege,Tokyo,Japan,Asia,70,110,35.661611876763516,139.74344615239207,2,French,1
28,Kjolle,Lima,Peru,South America,125,196,-12.15288997,-77.02257551,,,
29,Borago,Santiago,Chile,South America,90,141,-33.38250464,-70.58409081,,,
30,Frantzen,Stockholm,Sweden,Europe,365,573,59.33391045278144,18.05861157620161,3,Modern Cuisine,
31,Mugaritz,San Sebastian,Spain,Europe,245,385,43.27233957,-1.917072659,2,Creative,
32,Hisa Franko,Kobarid,Slovenia,Europe,225,353,46.24723040342872,13.537756522604248,3,"Creative, Regional Cuisine",1
33,El Chato,Bogota,Colombia,South America,40,63,4.647832480650467,-74.05709343,,,
34,Uliassi,Senigallia,Italy,Europe,180,283,43.71946925629721,13.220807436695209,3,"Creative, Seafood",
35,Ikoyi,London,United Kingdom,Europe,95,149,51.51242782630142,-0.115055735,2,Creative,
36,Plenitude,Paris,France,Europe,415,652,48.85882509710119,2.3420039922084435,3,Creative,
37,Sezanne,Tokyo,Japan,Asia,190,298,35.67809083118611,139.76686886812746,2,"French, Contemporary",
38,The Clove Club,London,United Kingdom,Europe,120,188,51.52712440671481,-0.079337987,2,Creative,
39,The Jane,Antwerp,Belgium,Europe,215,338,51.202480679185776,4.423451695780143,2,Creative,
40,Restaurant Tim Raue,Berlin,Germany,Europe,100,157,52.506898972408656,13.391470313188643,,,
41,Le Calandre,Rubano,Italy,Europe,255,400,45.421745165128705,11.809633225419324,3,Creative,
42,Piazza Duomo,Alba,Italy,Europe,295,463,44.70061894723605,8.035795206,3,"Creative, Seasonal Cuisine",1
43,Leo,Bogota,Colombia,South America,100,157,4.648081245017654,-74.05645237,,,
44,Le Bernardin,New York,United States,North America,190,298,40.76142528,-73.98175769,3,Seafood,
45,Nobelhart & Schmutzig,Berlin,Germany,Europe,105,165,52.50533938164077,13.39041478635015,1,"Creative, Regional Cuisine",1
46,Orfali Bros Bistro,Dubai,United Arab Emirates,Asia,50,79,25.218661886118696,55.26127525544441,,Contemporary,
47,Mayta,Lima,Peru,South America,41,64,-12.10988276,-77.04920184,,,
48,La Grenouillere,La Madeleine-Sous-Montreuil,France,Europe,115,181,50.47112332,1.7544420429453471,2,Creative,1
49,Rosetta,Mexico City,Mexico,North America,40,63,19.418424392795288,-99.15779813,,,
50,The Chairman,Hong Kong,Hong Kong,Asia,85,133,22.284828261694866,114.15300825582189,1,Cantonese,
51,Narisawa,Tokyo,Japan,Asia,250,393,35.671623394904465,139.72211520610134,2,Innovative,1
52,Hof Van Cleve,Kruishoutem,Belgium,Europe,220,345,50.90366919262731,3.509660940884748,3,Creative,
53,Brat,London,United Kingdom,Europe,40,63,51.524205051436354,-0.076703695,1,Traditional British,
54,Alcalde,Guadalajara,Mexico,North America,80,126,20.67938741340601,-103.3897971,,,
55,Ernst,Berlin,Germany,Europe,205,322,52.544689450413294,13.368020228812911,1,"Creative, Modern Cuisine",
56,Sorn,Bangkok,Thailand,Asia,85,133,13.723122614411515,100.56849898016935,2,Southern Thai,
57,Jordnaer,Copenhagen,Denmark,Europe,415,652,55.964896845305056,12.282762213777465,2,"Seafood, Creative",
58,Lasai,Rio de Janeiro,Brazil,South America,100,157,-22.95330361,-43.19631178,1,Modern Cuisine,
59,Merito,Lima,Peru,South America,35,55,-12.15050095,-77.02075104,,,
60,La Cime,Osaka,Japan,Asia,80,126,34.68582013694172,135.50342826918103,2,French,
61,Chef's Table at Brooklyn Fare,New York,United States,North America,360,565,40.75611963180946,-73.99659226,1,Latin American,
62,Arpege,Paris,France,Europe,195,306,48.855757218288545,2.317029419348791,3,Creative,1
63,Neolokal,Istanbul,Turkey,Asia,30,47,41.02383568020751,28.973401053289823,1,"Turkish, Modern Cuisine",1
64,Aponiente,El Puerto de Santa Maria,Spain,Europe,220,345,36.60325830109914,-6.216533767,3,"Creative, Innovative",1
65,Burnt Ends,Singapore,Singapore,Asia,110,173,1.3046093350437153,103.80899173610717,1,Barbecue,
66,Turk Fatih Tutak,Istanbul,Turkey,Asia,118,185,41.05834347732312,28.977766408645262,2,"Turkish, Modern Cuisine",
67,Le Clarence,Paris,France,Europe,380,597,48.86743612023706,2.309773203577769,2,"Creative, Modern Cuisine",
68,SingleThread,Healdsburg,United States,North America,330,518,38.61230421287813,-122.8697041,3,"Contemporary, Californian",1
69,Zen,Singapore,Singapore,Asia,330,518,1.2794801091324788,103.84038384102753,3,European Contemporary,
70,Sud 777,Mexico City,Mexico,North America,80,126,19.30908348631809,-99.20930351,,,
71,Core by Clare Smyth,London,United Kingdom,Europe,160,251,51.51277319530499,-0.20313514,3,Modern British,
72,Suhring,Bangkok,Thailand,Asia,110,173,13.710819599057201,100.54548756391205,2,European Contemporary,
73,Cosme,New York,United States,North America,100,157,40.73959783713122,-73.98835571,1,"Mexican, Regional Cuisine",
74,Nusara,Bangkok,Thailand,Asia,60,94,13.745702860457264,100.49152786105489,,Thai,
75,Fyn,Cape Town,South Africa,Africa,35,55,-33.9247149,18.421790194239506,,,
76,Oteque,Rio de Janeiro,Brazil,South America,120,188,-22.9574722,-43.19438394,2,Modern Cuisine,
77,Tantris,Munich,Germany,Europe,110,173,48.16979538277401,11.58833919101889,2,"Classic French, Classic Cuisine",
78,Alleno Paris au Pavillon Ledoyen,Paris,France,Europe,425,667,48.86616917377742,2.3163245103695576,3,Creative,
79,Nuema,Quito,Ecuador,South America,85,133,-0.198247182,-78.4825415,,,
80,Flocons de Sel,Megeve,France,Europe,185,290,45.83027877935124,6.596897690004062,3,Modern Cuisine,
81,Azurmendi,Larrabetzu,Spain,Europe,245,385,43.26057039505145,-2.816021454,3,Creative,1
82,Enigma,Barcelona,Spain,Europe,85,133,41.37672445,2.1541006769964155,1,Creative,
83,Sazenka,Tokyo,Japan,Asia,185,290,35.649575613877886,139.7283629,3,Chinese,
84,Meta,Singapore,Singapore,Asia,45,71,1.2939021268191782,103.84181048176113,1,Innovative,
85,Enrico Bartolini,Milan,Italy,Europe,300,471,45.45154885572578,9.161627754448524,3,Creative,
86,Lyle's,London,United Kingdom,Europe,75,118,51.52375584816454,-0.076477264,1,Modern British,
87,Ossiano,Dubai,United Arab Emirates,Asia,315,495,25.131247594982433,55.117572377101354,1,Creative,
88,Potong,Bangkok,Thailand,Asia,140,220,13.739159367583554,100.50849203493202,1,Innovative,
89,Mingles,Seoul,South Korea,Asia,75,118,37.52533840401825,127.04414427288619,2,"Korean, Korean Contemporary",
90,Wing,Hong Kong,Hong Kong,Asia,225,353,22.28491394326102,114.1528747758323,,Innovative,
91,Kadeau,Copenhagen,Denmark,Europe,330,518,55.67229359752451,12.588980250908081,2,"Creative, Modern Cuisine",1
92,Neighborhood,Hong Kong,Hong Kong,Asia,35,55,22.28304183120598,114.15284381338188,1,European Contemporary,
93,Kei,Paris,France,Europe,140,220,48.86432843256539,2.342131847222238,3,"Creative, Modern Cuisine",
94,La Colombe,Cape Town,South Africa,Africa,35,55,-34.01516713,18.403311615275992,,"French, European",
95,Ceto,Roquebrune-Cap-Martin,France,Europe,170,267,43.756819763496196,7.444427637547555,1,"Seafood, Mediterranean Cuisine",
96,Ricard Camarena Restaurant,Valencia,Spain,Europe,75,118,39.485259987840585,-0.385215685,2,Creative,1
97,Labyrinth,Singapore,Singapore,Asia,78,122,1.289750073442697,103.85629712554959,1,"Innovative, Singaporean",
98,Saison,San Francisco,United States,North America,288,452,37.77952337386485,-122.3922696,2,"Contemporary, Californian",
99,Fu He Hui,Shanghai,China,Asia,80,126,31.21866282100517,121.42968236111247,1,Vegetarian,
100,Maito,Panama City,Panama,North America,70,110,8.994377186338845,-79.49800486,,"Contemporary,Panamanian",
